old url,new url
http://www.nio.gov.uk/government/organisations,https://www.gov.uk/nio
http://www.nio.gov.uk/index/media-centre.htm,https://www.gov.uk/government/announcements?departments%5B%5D=northern-ireland-office
http://www.nio.gov.uk/newsdesk.htm,https://www.gov.uk/government/announcements?departments%5B%5D=northern-ireland-office
http://www.nio.gov.uk/newsdesk.htm,
http://www.nio.gov.uk/index/media-centre.htm,
http://www.nio.gov.uk/government/organisations,
http://www.nio.gov.uk/index/news.xml,
http://www.nio.gov.uk/index/procurement.htm,
http://www.nio.gov.uk/government/news/minister-of-state-and-ni-justice-minister-visit-lough-erne,
http://www.nio.gov.uk/government/consultations/measures-to-improve-the-operation-of-the-northern-ireland-assembly,
http://www.nio.gov.uk/index/public-consultation/documents.htm,
http://www.nio.gov.uk/government/organisations/northern-ireland-office/about/recruitment,
http://www.nio.gov.uk/government/publications/equality-and-diversity-spending-12-64,
http://www.nio.gov.uk/support/cookies,
http://www.nio.gov.uk/government/people/theresa-villiers,
http://www.nio.gov.uk/index/about-the-nio.htm,
http://www.nio.gov.uk/agreement.pdf,
http://www.nio.gov.uk/browse/business,
http://www.nio.gov.uk/browse/working,
http://www.nio.gov.uk/government/topics/economic-growth,
http://www.nio.gov.uk/government/topics,
http://www.nio.gov.uk/government/publications/northern-ireland-terrorism-legislation-annual-statistics-2011-12,
http://www.nio.gov.uk/,
http://www.nio.gov.uk/government/organisations/northern-ireland-office/about/complaints-procedure,
http://www.nio.gov.uk/browse/benefits,
http://www.nio.gov.uk/government/ministers/minister-of-state--19,
http://www.nio.gov.uk/Publications/Article,
http://www.nio.gov.uk/whateverthisshouldntwork,
http://www.nio.gov.uk/government/organisations/northern-ireland-office/about/publication-scheme,
http://www.nio.gov.uk/government/policies/supporting-political-stability-and-the-institutions-in-northern-ireland,
http://www.nio.gov.uk/press.htm,
http://www.nio.gov.uk/a_new_beginning_in_policing_in_northern_ireland.pdf,
http://www.nio.gov.uk/index.htm,
http://www.nio.gov.uk/agreement.htm,
http://www.nio.gov.uk/government,
http://www.nio.gov.uk/sexualoffences,
http://www.nio.gov.uk/government/how-government-works,
http://www.nio.gov.uk/government/world,
http://www.nio.gov.uk/report_no-3.pdf,
http://www.nio.gov.uk/tackling_violence_at_home_-_strategy_for_addressing_domestic_violence_and_abuse_in_northern_ireland.pdf,
http://www.nio.gov.uk/transaction_spend_data_northern_ireland_office_april_2011.xls,
http://www.nio.gov.uk/virtual-tour.htm,
http://www.nio.gov.uk/getattachment/c25cd9ec-35b1-4c1d-9544-c9d7ffa5f562/Police%20Service%20of%20Northern%20Ireland%20Regulations%202005%20-%20conditions%20of%20service%20for%20regular%20PSNI%20officer.aspx,
http://www.nio.gov.uk/government/announcements,
http://www.nio.gov.uk/government/policies,
http://www.nio.gov.uk/government/publications,
http://www.nio.gov.uk/the-agreement,
http://www.nio.gov.uk/transaction_spend_data_july_10_northern_ireland_office.xls,
http://www.nio.gov.uk/transaction_spend_data_northern_ireland_office_october_2010.xls,
