old url,new url
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=42,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/193712
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=43,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/193712
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=46,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/193712
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=47,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/193712
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=71,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/193712
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=80,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/193712
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=81,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/196461
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=83,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/196503
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=84,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/196503
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=85,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/196503
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=91,https://whitehall-admin.production.alphagov.co.uk/government/admin/detailed-guides/197274
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=98,TNA
http://www.offshore-sea.org.uk/site/scripts/download_info.php?fileID=99,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=10,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/195938
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=11,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=12,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=13,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=14,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=15,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=16,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=17,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=2,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=21,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=22,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=23,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=27,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=29,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=3,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=37,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=38,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=39,TNA
http://www.offshore-sea.org.uk/site/scripts/downloads.php?categoryID=4,TNA
