old url,new url
http://www.cabinetoffice.gov.uk/media/259142/metadataV2.pdf,http://www.esd.org.uk/standards/egms/
http://www.cabinetoffice.gov.uk/reports/cyber_security.aspx,https://www.gov.uk/government/policies/keeping-the-uk-safe-in-cyberspace/activity
http://www.cabinetoffice.gov.uk/news/topic/20,https://www.gov.uk/government/announcements?departments%5B%5D=cabinet-office
http://www.cabinetoffice.gov.uk/taxonomy/term/136/0/feed,https://www.gov.uk/government/organisations/cabinet-office.atom
http://www.cabinetoffice.gov.uk/govtalk/schemasstandards/metadata/egms_31.aspx,TNA
http://www.cabinetoffice.gov.uk/thepittreview.aspx,TNA
http://www.cabinetoffice.gov.uk/media/294825/egms%20version%203.pdf,https://www.gov.uk/government/publications?departments%5B%5D=cabinet-office
http://www.cabinetoffice.gov.uk/e-government/resources/handbook/html/2-4.asp,TNA
http://www.cabinetoffice.gov.uk/thepittreview/final_report.aspx,TNA
http://www.cabinetoffice.gov.uk/sites/default/files/resources/coalition_programme_for_government.pdf,https://www.gov.uk/government/publications/the-coalition-documentation
http://www.cabinetoffice.gov.uk/media/259052/application%20profile%202003-08-05.pdf,TNA
http://www.cabinetoffice.gov.uk/epcollege.aspx,http://www.epcollege.com/epc/home/
http://www.cabinetoffice.gov.uk/search/apachesolr_search/cyber%20security,https://www.gov.uk/government/policies/keeping-the-uk-safe-in-cyberspace
http://www.cabinetoffice.gov.uk/third_sector.aspx,https://www.gov.uk/government/organisations/cabinet-office/series/civil-society-update-series
http://www.cabinetoffice.gov.uk/media/132428/15mayshortguide.pdf,TNA
http://www.cabinetoffice.gov.uk/media/cabinetoffice/social_exclusion_task_force/assets/publications_1997_to_2006/ns_consultation.pdf,TNA
http://www.cabinetoffice.gov.uk/sites/default/files/resources/baseline-personnel-security-standard.pdf,https://www.gov.uk/government/publications/security-policy-framework
http://www.cabinetoffice.gov.uk/e-government/,TNA
http://www.cabinetoffice.gov.uk/third_sector,https://www.gov.uk/government/organisations/cabinet-office/series/civil-society-update-series
http://www.cabinetoffice.gov.uk/public_service_reform/contact_council/workplan.aspx,TNA
http://www.cabinetoffice.gov.uk/propriety_and_ethics/civil_service/sponsorship_guidlines.asp,https://www.gov.uk/government/organisations/cabinet-office/series/civil-service-conduct-and-guidance
http://www.cabinetoffice.gov.uk/content/public-sector-transparency-board-who%27s-who,https://www.gov.uk/government/policy-advisory-groups/134
http://www.cabinetoffice.gov.uk/sites/default/files/resources/giving-white-paper.pdf,https://www.gov.uk/government/consultations/giving-green-paper
http://www.cabinetoffice.gov.uk/sites/default/files/resources/open-public-services-white-paper.pdf,http://www.openpublicservices.cabinetoffice.gov.uk/
http://www.cabinetoffice.gov.uk/social_exclusion_task_force.aspx,TNA
http://www.cabinetoffice.gov.uk/sites/default/files/resources/public-bodies-reform-quarterly-status-check-january-2011.pdf,https://www.gov.uk/government/publications/public-bodies-reform-quarterly-status-check
http://www.cabinetoffice.gov.uk/strategy/work_areas/alcohol_misuse.aspx,TNA
http://www.cabinetoffice.gov.uk/strategy/work_areas/public_services.aspx,TNA
http://www.cabinetoffice.gov.uk/https:/www.gov.uk/government/policies/improving-the-transparency-and-accountability-of-government-and-its-services,https://www.gov.uk/government/policies/transforming-government-services-to-make-them-more-efficient-and-effective-for-users
http://www.cabinetoffice.gov.uk/media/210852/20090519_77review.pdf,TNA
http://www.cabinetoffice.gov.uk/voluntary-sector/charity-law-regulation.aspx,https://www.gov.uk/government/policies/making-it-easier-to-set-up-and-run-a-charity-social-enterprise-or-voluntary-organisation
http://www.cabinetoffice.gov.uk/content/major-projects-authority,https://www.gov.uk/government/policy-teams/126
http://www.cabinetoffice.gov.uk/e-government/resources/handbook/introduction.asp,TNA
http://www.cabinetoffice.gov.uk/intelligence,https://www.gov.uk/government/organisations/national-security
http://www.cabinetoffice.gov.uk/media/cabinetoffice/corp/assets/publications/reports/national_risk_register/national_risk_register.pdf,https://www.gov.uk/government/publications/national-risk-register-of-civil-emergencies
http://www.cabinetoffice.gov.uk/social_exclusion_task_force/,TNA
http://www.cabinetoffice.gov.uk/strategy/work_areas/food_policy.aspx,TNA
http://www.cabinetoffice.gov.uk/ukresilience/useful_links.aspx,https://www.gov.uk/government/publications/community-resilience-resources-and-tools
http://www.cabinetoffice.gov.uk/reports/national_risk_register.aspx,https://www.gov.uk/government/publications/national-risk-register-of-civil-emergencies
http://www.cabinetoffice.gov.uk/content/cyber-security%0D,https://www.gov.uk/government/policies/keeping-the-uk-safe-in-cyberspace
http://www.cabinetoffice.gov.uk/govtalk/schemasstandards/e-gif/datastandards/address/postcode.aspx,TNA
http://www.cabinetoffice.gov.uk/sites/default/files/resources/uk-cyber-security-strategy-final.pdf,https://www.gov.uk/government/publications/cyber-security-strategy
http://www.cabinetoffice.gov.uk/index.asp,https://www.gov.uk/government/organisations/cabinet-office
http://www.cabinetoffice.gov.uk/security_and_intelligence/community.aspx,https://www.gov.uk/government/policies/keeping-the-uk-safe-in-cyberspace
http://www.cabinetoffice.gov.uk/cio/public_sector_network/psn_forum.aspx,https://www.gov.uk/public-services-network
