old url,new url,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/data_obr_index.htm,https://www.gov.uk/government/publications/office-for-budget-responsibility-obr-framework,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/inflation_outputgap_0310.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_pse_spring07_08.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/psr_pse_winter08_09.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/treasury_economic_workingpaper7.htm,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ukecon_working_papers.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/ukecon_pyx.htm,https://www.gov.uk/government/news/chancellor-attends-trial-of-the-pyx-verdict,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/data_forecasts_index.htm,https://www.gov.uk/government/organisations/hm-treasury/series/data-forecasts,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/controlled_foreign_companies_events.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/controlled_foreign_companies_wgc.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/controlled_foreign_companies.htm,https://www.gov.uk/government/policies/making-corporate-taxes-more-competitive/supporting-pages/changing-the-way-the-uk-taxes-overseas-profits,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/corporate_tax_reform.htm,https://www.gov.uk/government/policies/making-corporate-taxes-more-competitive,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_environ_index.htm,https://www.gov.uk/government/topics/environment,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_foreign_branches.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hm-treasury.gov.uk/tax_income_nics.htm,TNA,,,,,,,,,,,,,,,,,,,,,,,,
